,date,review,rating,isEdited,title,userName,developerResponse
0,2024-02-03 14:26:55,"I’m not one who’s ever been comfortable asking for help….however, when I became homeless I gave an interview which to my surprise went viral, several of my viewers recommended that I start up a GoFundMe account so that they might be able to reach out and assist if anyone so chose to do so.   To my great astonishment and with humblest appreciation I not only reached my financial goal but surpassed it nearly doubling my initial specified goal amount.  While I am not yet completely out of the proverbial woods, the funding and support I have received from those I know combined with total strangers from all points around the globe, I have found myself affording basic necessities food and even temporary dwellings, thus giving me a new lease on life and the ability to begin to start again.  It is my hope that one day I as well as so many others may find a way to finally at long last end this cycle of homelessness.  My heartfelt thanks and warmest of wishes to those supporters who donated and most specifically to GoFundMe and its affiliates for providing me with this gift.",5,False,GoFundMe Saved Me!,Dennis Kyle,
1,2021-09-10 06:41:41,"I am very happy with my experience with GoFundMe.  Honestly, the only reason I didn’t give you 5 stars is because of 1 single problem.  That being the fact that there isn’t a way to call and speak to someone if you run into an issue.  I had an issue with my password and got locked out for a little while.  Of course there is the regular “forgot password”, but for some reason it just wouldn’t work for me causing me to become very frustrated to the point of just giving up for a week or so.  

Thankfully, when I went back to try again, it worked just fine. HOWEVER, at that point, we had a difficult time setting up withdrawals and never really figured out why except the specifics bank was not one to choose from. Thankfully there was a way to do it manually by just putting in the bank account info.  Then at that point, we were told it would take 2-5 business days to transfer the money, which I understand. However, if we had known that a little earlier, we could have done it before the bill we needed to pay came due.

Honestly, some of these problems may have been “user error”, but, if I had been able to speak to a person, they could have walked me through it and alleviate my anxiety.  Other than these issues, we have been very pleased with the app and the responses received.",4,False,Need help line!,Laura4968,"{'id': 25072713, 'body': 'Thank you for taking the time to leave a review. We are so sorry to hear about the trouble you experienced, If our team can be of any assistance, you can reach us here: https://www.gofundme.com/contact/suggest. They are more than happy to help.', 'modified': '2021-09-13T14:33:56Z'}"
2,2022-12-15 19:09:48,"This is a great idea, and I desperately needed it… A month ago I was nearly killed, and I am recuperating now in terrible daily pain, I can’t really move, I can’t do anything for myself due to my arm and leg being broken and nine broken ribs, plus a punctured lung, I am hugely stressed out about what my future holds because now I can’t work, and even though the accident was not my fault, there is no one for me to go after financially, because the person who caused the accident died while driving a stolen car. so I am very reliant on the kindness of the donations, given to me through go fund me, and every seven days like clockwork I get a notification that there’s a problem with the bank and all of the donations are being refunded, I spent an hour trying to get through to go fund me a finally get the thing, resolved, and then seven days later it’s the same thing all over again they are supposed to be helping us to get through a trauma, in my case At least this is adding in masa Madera stressed in my life that I don’t need stress! so be advised, while this is a great idea, be prepared to have it backfire on you horrendously all of my donations are frozen, because of some banking error on their end, on their app that they don’t seem motivated to fix..",2,False,Every week you’re gonna have to fight with them to get the money,slls9,
3,2023-08-31 16:31:58,"I’m not going to lie about what’s going on in my life to get people to help me out. I put my story in there as truthful as possible. I did updates. I don’t know what else to do. I did not get a lot of traffic no matter how many times I shared, but I guess it’s just the circle of people around me or people that I’ve actually seen it I wish that gofundme had an automatic share button where they know where to share and automatically share for us in these platforms because right now we’re going through a lot and begging is not my thing I’m socially awkward and in need of help but I don’t know how to ask for it gofundme should make it easier to share stories because I’m not gonna lie. There should be a good amount of people that are willing to help somebody who doesn’t do drugs, who is not dead who legitimately lost their job I can’t make it. But I wish the gofundme had that opportunity that not only do you use their platform but also that they will help you share they get a fee. I wish they had a better way of sharing because right now I put my go fund me to help me save my apartment and the papers are going to be on the door very soon. And it’s so sad.",4,False,Easy and hard,Roz0612,
4,2022-02-13 00:14:27,"Who are you to decide if a charity or a movement people believe in is acceptable or not? Thieves who claim they will give other people’s money to “approved” charity of their choosing? What an absolute narcissistic control move. Firstly, it is not your money, it is the money of the donors and the supporters who are wishing for good things, offering support, hope, charity and unity, all for something they believe in. Secondly, you don’t get to decide for other people what they should believe in. Not your money! And you are not the arbiters of other people’s beliefs! Shame on you for masquerading as means of connecting people and providing support access to charities and peaceful movements. A sham! You ought to be ashamed of yourselves, crooks, and cronies! What kind of degenerate steals money from the donation box only to turn around and suggest giving it to someone or something else? Those donations should only be given to the intended parties, end of discussion. Just outright dishonest, and false at your very core. I think this would also count as a clear violation of the section of the consumer protection act that highlights what can be considered fraud, based on the contractual expectations between the consumer, and the service provider. If you donated money that was then redirected to a different organization without your clear consent, then there are plenty of grounds here for FRAUD CLAIMS!",1,False,Shameful Embarrassment,WindyFaan,
5,2022-01-13 21:53:54,I love the idea of go fund me. The idea that people who are in need can have someplace to ask those in a better position to help out is genius. For people who are looking to donate to something not someone and doesn’t know what or where to do it this is so amazing. My only wish is that there was some way to help get your “message” or “wish” or “fund” more out there and seen than just sharing. For people who don’t have easy access to people or many contacts on social media or real life it can be really difficult to get donations. For example mines been up for a few weeks and I only have two donations. I’m running out of time and thinking I’m going to have to sell literally everything I own. Otherwise this app has really helped so many people. I only wish it was easier to help those that haven’t made much money yet. All the main screens show the “highest donated” pages where they have met or surpassed their goal. What of those that still need money? That’s all I’m saying. Based on my experience.,5,False,Great idea,honeybunneycombs,
6,2023-03-07 01:09:04,"This is the first time today that I’ve had to cry for help. So on behalf of myself I’d like to say the following to the creators of GoFundMe.

Dear, Go Fund Me Creators
I want to take this moment to express my heartfelt gratitude for your generous contribution to help me with my financial situation and everyone else’s hardships and crisis. The kindness and support mean the world to me, and I cannot thank you enough.

I want you to know that your platform to allow these donations has not gone unnoticed, and I am truly humbled by the outpouring of support from people, friends, and complete strangers you’ve opened to help me in this difficult situation. In the past, I have been hesitant to ask for help due to my pride and ego, but my journey of recovery has taught me the importance of being honest about my circumstances.

 

 I am already overwhelmed by the support I have received, and it is a great comfort to know that there are people out there like you (GoFundMe) in this world who are willing to help those in need. 

Your kindness has made a significant impact on my life, and I am deeply grateful for it.

Once again, thank you from the bottom of my heart for your generosity and support as an application that truly helps those in need of financial assistance. I hope that someday I can repay your kindness in some way, but until then, please know that I will always be grateful for what you have done for me. 

Sincerely, 

   Chris Driscoll",5,False,Giving/Receiving Heals,TheDriscollKid712,
7,2023-09-23 16:01:22,"We appreciate the help GoFundMe has provided in getting the funds for cremation services for my family member who passed away from her long battle with Cancer. I wish the fees weren’t so high. I feel like there’s a better way they could handle those. People are asking for help because they need the money they are asking for. It’s too bad they couldn’t base those fees off of income levels. My niece provided for her mother and was her caretaker until the very end. Every penny in donations would have helped tremendously. Her mom’s disability check was helping her with rent and she’ll no longer have that help on top of having to pay for a service for her mom and provide for her daughter as a single mother. Hopefully after all of this she’ll be able to get back to working full time again. I’d give 5 stars if it wasn’t for the fees. GoFundMe — maybe there’s a way to base those in the future off of income levels for those who truly have nothing. Also, thank you for being a support at this trying time for our family. It’s appreciated.",4,False,Thankful for GoFundMe,Leigh1014,
8,2021-09-18 18:01:28,"I’m currently raising money for my cancer sick grandma, and let me just say how thankful to God I am for this app. It’s truly a humbling experience, especially when you want to help but can’t do it alone! *Update* I fully raised enough money to send to my grandma and they have closed my account because I’m trying to help someone in a different country…I’m sorry but America was built on immigrants, some were not as fortunate to make it here. That is my grandma, alone with no one to help I thought I could do something but I guess the goodness of it all was an illusion. A hope crushing illusion. I just don’t understand why it’s not supported by the app to help others out of country. My friends and family donated and wanted to support my grandmother, all you had to do was provide a platform. How do you fail to do that? I thought this was an application that would help me and my grandmother but all it did was disappoint. Literally you aren’t doing anything to help the people outside the country, and you’re preventing others who want to do so. That my friends is a false supremacy, caused by a delusion of the little power you gain from a platform. P.S. your “non-supported” countries are the ones that need the most support.",1,True,Amazing way to be of help,00MavyWavy00,"{'id': 24788595, 'body': 'Thank you for taking the time to leave a review. We are sorry to hear about the circumstances that brought you to GoFundMe and glad to know you were able to raise the funds. If anything ever comes up, our team would be happy to support you!', 'modified': '2021-08-30T02:58:58Z'}"
9,2021-07-06 08:01:03,I held a fund raiser and raised $320 for an Animal shelter that saved my dogs life. This fund raiser took me months and months just to earn that much money. It was all for nothing. I tried to take out the money and the app kept glitching. It was trying to tell me I already made an account of go fund me when I tried to withdraw the money to donate it. It told me I already had an account under that email that’s impossible. I’ve never used GoFundMe before this and made the email a few months ago. Then I tried doing a different email to withdraw the money and it told me it emailed the sign in thing to the email. I checked and it never did no matter how many times I retried. So not only after working so hard to raise the money and trying to get the app to work. They refunded everything and all the money is gone. I lost everything and now I can’t help the animal shelter after telling them I was gonna donate. I could have saved lives. This made me want to cry my heart sank when I saw. This is so unfair there app wouldn’t work I shouldn’t have to have this happen to me. I would never ever use this app again this is the worst app. I think I have ever used. This just makes me so sad. :(,1,False,I wish I could give 0 stars,hedgehogloverr,"{'id': 25928457, 'body': ""We are truly sorry to hear about the experience you had with us! Should you change your mind, don't hesitate on reaching back out to us. We'd be happy to assist you again!"", 'modified': '2021-10-27T14:15:51Z'}"
