,date,review,rating,isEdited,userName,title,developerResponse
0,2020-11-14 06:47:16,"In the current version, all the features are very user-friendly and everything works really well, but there is a small glitch worthy of some note: if you tap on a notification banner, it takes you to the app but not to the update, survey, message, etc. you are being notified about. I hope it's not too much trouble to fix, but that's pretty hampering to accessibility and efficiency as things stand now.

On a lesser note, if there were some to make the notifications not all clear away from the Notification Center when only one of them is being selected, that would further help in the name of efficiency. Some apps, I notice, wipe clean the notifications from the Notification Center the moment the app is opened or reentered, whereas some don't mess with them at all, save for removing the ones tapped on/swiped left. When you've backed dozens upon dozens of campaigns that are still actively updating, it can be such a slog skimming through the Activity Log, especially if you're more interested in reading certain updates first. Notifications are ideally a quick and easy way to flip everything new to find the info/content you're most interested in at the present moment. If you are able to change this at all without, of course, completely recoding the app from zero, I would greatly appreciate that bit of fine-tuning. 😁 Please & thanks, and keep up the great work on the app. 💚👍",5,False,DTx21,"Everything Works Really Well, But…",
1,2020-09-01 14:53:21,"I’ve learned from experience from backing numerous projects that it can be a BUYER BEWARE gamble to put your money up while trusting in creators/artists and scammers! I rate the KICKSTARTER APP as 5 stars because it works perfectly and lets me keep track of all the projects I back without having to get on a computer-CONVENIENT 
I can track projects that I’ve received rewards from and keep updated on what’s going on with each project and leave comments. I can search for new projects and it has never given me issues (the app, on iPhone 7 and iPad 11 Pro) solid app. But as for Kickstarter, RESEARCH THE CREATORS BEFORE YOU BACK THEM. Make sure they’ve completed and fulfilled previous projects and that they’re getting great reviews! It’s very hard to get your money back from creators that don’t complete or follow up. Sometimes you don’t get your money back and NEVER get the rewards! 
I 💯 recommend this APP but Kickstarter can be a money pit",5,False,RedAvalanche,Very handy app,
2,2023-04-06 23:40:33,"I don't normally bother with reviews but In this case, I feel it would be wrong of me to not take the time to try and warn any new potential  Kickstarter supporters before they too are scammed out of hundreds and hundreds if $'s.  I have backed 44 projects on Kickstarter over the last couple yrs, I can say that most of the campaigns and campaigners have turned out ok but recently, the scams have been happening more and more.  For me, 4 of my last 8 have wound up being scams.   This wouldn't grant an automatic 1* review all on its own but when I take into consideration that I've now contacted Kickstarter customer support about 3 of the 4 campaigns that have scammed me as well as countless other backers, I've not received a single response nor have I seen any signs of anyone else having received one either.  It's not just me who has been cheated out of hundreds of dollars, its countless others.  No telling how many other campaigns have wound up being scams as well that I'm unaware of because I didn't back them.  I'd say it's safe to say that the total dollar amount that backers have been scammed out of has to be well over a  million dollars yet Kickstarter customer support can't even offer a response nor put a stop to the campaigners that are stealing people's $. Maybe they are being paid off to just let it happen. 🤷🏻‍♂️",1,False,TrB'd05goat1000,Too Many Scams,
3,2023-08-21 01:34:15,"I literally downloaded kickstarter solely for a single project I seen online I was interested in. A project, I won’t be able to actually get any thing out of now thanks to Kickstarters extremely horrible app, and bad customer service. Why this app has a 4.8 rating I can’t understand. Kickstarter never charged my card, saying it was a payment failure. Cool, maybe it’s my fault and I entered the card details again presuming I messed up. 2 days left in the project, nothing. So I contact support. That..is..a..joke. I’d rather be at the DMV. So because I signed up with Apple ID, pretty normal as an Apple user, they pretty much can’t help me. Because they can’t verify the account is me. Despite answering all the petty unrelated questions they’ve asked, and providing numerous screenshots. The kicker, the last email I receive from support said they won’t remove my Apple ID and change it to an email account (which why this is an issue to my payment processing still hasn’t been explained), and to log in on a web browser to make the appropriate changes to my payment information. Tell me, how does that EVEN make sense? Knowing of course I CANT log into a web browser with Apple ID as the account info. This terrible first time experience will result in my never using kickstarter again. Uninstalled.",1,False,Djinnchu,Horrible customer service,"{'id': 38461007, 'body': ""Hi there,\n\nThanks for taking the time to send along your feedback. Kickstarter is constantly evolving and community feedback is what helps us improve.\xa0\n\nOur team did not receive a response after our latest reply in which we addressed the issue concerning your login email. Please feel free to follow-up on the same support request and we'll be happy to further investigate these payment difficulties.\n\nBest,\nKickstarter Support"", 'modified': '2023-08-22T16:54:42Z'}"
4,2022-01-31 22:51:14,"I’ve backed a few projects through Kickstarter and others like it. The refund rules are clear for the project managers and I’ve been waiting two years to get a product that was fully funded and, at this point, the company has the product in retail locations. They have yet to deliver my product, along with several hundred other backers, and Kickstarter doesn’t seem to care about enforcing their own rules. I can’t trust them to back the backers on their platform. Very disappointed and I don’t recommend anyone use their platform. It’s really too bad because there are lots of great ideas that need a little funding to get off the ground and then there are lots of products that are scams from the start. Be very wary.

In response to the developer response…the creator has been contacted by the vast majority of backers. They don’t respond. The project was successfully funded so no one needs to hear this crap about “projects not coming in as planned.” We all understand the risks when funding goes but projects don’t play out. The problem is when the projects do come in but backers still haven’t received our items. Good try “developer” but wrong response to a separate issue altogether.",1,True,FluidlyNeon,Kickstarter doesn’t follow their own rules,"{'id': 27770720, 'body': 'Hi, Thank you for your review. Many projects on Kickstarter are in the early stages of development, which means that sometimes they may not come together as planned. For more information about the project, or to share feedback that could help with improvements down the line, we recommend reaching out to the creator directly.', 'modified': '2022-01-31T18:44:17Z'}"
5,2022-05-19 04:24:29,"A couple of years ago this app was cool and fun to browse. Ever since Covid hit in 2020, project creators based out of China have figured out ways to deceive and scam backers of projects with fake campaigns. These campaigns look and seem real but are not intended to be fulfilled by their creators. I’ve been scammed twice for sure this year and am dealing with 2 more potential scam campaigns that I’ve already funded. Basically the creators “ghost” the backers, no questions answered for months, no updates posted by the creators, company websites deleted from the internet, you name it. The one thing in common, these are fake companies located in China, most with US addresses too. You can always tell by their responses in the comments threads though. They creators of these fake campaigns respond promptly until the money for their campaigns is collected, then poof, they disappear!! This happens to more than half of the campaigns nowadays so once I’ve collected my remaining few rewards, I’m deleting the app. Oh, did I mention, Kickstarter does ABSOLUTELY nothing to aid or even prevent this from happening, as long as they collect their 5% or so from the project creators, they are fine with this happening.",1,True,Dntslp,Watch Out for Scammers,"{'id': 28205629, 'body': 'Hi, Thanks for your review. Unlike an online shop, Kickstarter is a place for creators to find support for creative projects and the final delivery can come with unexpected hurdles. Remember, backing is not buying. If you have feedback on ways we can continue to improve the backer experience, let us know: https://www.kickstarter.com/contact', 'modified': '2022-02-23T04:12:03Z'}"
6,2020-08-13 15:29:41,"Kickstarter is awesome. I’ve backed over 160 projects and had a 90% positive return. It’s crowdfunding so 100% is really unlikely. The app could use some work. Being able to sort campaigns by whether they have fulfilled or not ill be hugely useful. Some sort of better organization/optimization of comments would be very nice. Improving the search mechanism would be great, maybe adding filters or something to allow refinement without scrolling through tons of projects that aren’t what you’re looking for. A way of tagging comments so you could potentially exclude all the ones on a given topic and see the rest would be good. More insight into creator activity (last presence, most recent comment, etc) would be great as well. It would be nice if comments from “super” backers could be identified. Many projects have delays and backers who haven’t backed many projects tend to freak out while those with more experience have a better eye towards behavior that indicates fraud rather than that which indicates inexperience.",4,False,Sisyphus1967,Could use improvement,
7,2019-11-25 09:47:06,"With the last update to the mobile app (which had already seen a lot of terrible decisions - like not having your pledge at the top of the list), now you cannot even see the other pledges if you want to change your level. This is important in campaigns that may add on new tiers to accommodate backer choices, and also important for backers who start at one tier and want/need to change (particularly the infamous $1 tier). Additionally, having the list reload whenever you favorite/unfavorite a campaign is a serious pain - if you have more than 20 campaigns in your history (as a super backer, this has always been a thorn in my side since I primarily manage my campaigns via my mobile device).
 
Finally, do better for your backers! This platform does not exist without them and the increasing number of campaigns that ARE scams (I.e. projects that fund, sometimes massively, and the creators fail on all points). As backers we do sleuth things out when something isn’t adding up but the frank zero protection and accountability from KS itself is appalling. Figure it out or you will have people stop crowd funding. Which would see a lot of great things never come to fruition.",1,False,DistraughtSim,Last “update” terrible!!!,
8,2023-10-03 18:19:40,"The app works well, but as for Kickstarter the company… beware of scammers and unhelpful customer service. I backed a project DESIGNED FOR KIDS that turned out to be a scam. After all the backers tried to get a refund from the creator, wrote HUNDREDS of messages to the creator and Kickstarter, reported the project, and filed for a charge backs at our banks (which did not succeed for most), Kickstarter won’t do anything. I have contacted them alone about 4-5 times and they ignore my messages asking for an update. They claim “we’ve escalated your message to our Trust & Safety team for them to take a look” but months go by and nothing… The creator went against multiple Kickstarter policies which were pointed out to Kickstarter and they don’t care. I understand we are backing a concept, but for you to not abide by your own policies or help the people that fund your site, it’s wrong. It’s one thing for the project to not come to fruition, but a completely other one if the company ends up not being legit and stealing. Kickstarter needs to do a better job vetting these “companies” before ripping off a bunch of people. I won’t use it again.",1,False,LR_1991,Beware of Scammers,
9,2020-11-18 18:53:58,When you go to the website there’s alerts at the top of the screen that lets you know if you need to fill out surveys and the app needs the same feature. I’ve backed a lot of projects and it’s a pain trying to make sure that I don’t miss surveys. I’ve missed two. One item I was still able to get. I have alerts turned on but if they come through while I’m working sometimes I accidentally clear them. I also search my email but since I back a lot of projects I get quite a few. A highly visible reminder when using the app would be super nice. I’ve always used the app and didn’t realize the website had this feature until I had a problem submitting a survey and tried the website. The survey I was filling out today wouldn’t submit because it didn’t like my address because I my apartment number was on the second address line. My address was already filled in but for some reason it wouldn’t go through today and there was no indication of what the problem was.,3,False,01101111000111,Better alerts for surveys!!!,
